LOCACION;COD_CELDA;COD_PLANO_CELDA;COD_GRILLA;PUNTO;ESTE;NORTE;ALTITUD;PROF;TIPO_COMP;NUM_EVAL;T_SUPERB;AREA;N_SUPERVIS;TPH;PORC_EXCESO;CA;prof
EA9082;AREA-EA9082-3;B6;AREA-EA9082-3-4;L-X,6,PZEA9082-1;480971.931;9527371.423;305;0.15;Area remediada; ;2025;19.88813236;3;0;;0007-4-2025-276;0.15
EA9082;AREA-EA9082-2;B5;AREA-EA9082-2-2;L-X,6,PZEA9082-2;480973.507;9527371.233;305;0.15;Area remediada; ;2025;37.35606057;3;0;;0007-4-2025-279;0.15
EA9082;AREA-EA9082-4;B8;AREA-EA9082-4-4;L-X,6,PZEA9082-3;480971.946;9527374.873;305;0.15;Area remediada; ;2025;25.05526282;3;0;;0007-4-2025-282;0.15
EA9082;AREA-EA9082-4;B8;AREA-EA9082-4-3;L-X,6,PZEA9082-4;480973.651;9527376.631;305;0.15;Area remediada; ;2025;25.05526282;3;0;;0007-4-2025-285;0.15
EA9812;AREA-EA9812-4;E6;AREA-EA9812-4-2;L-X,6,PZEA9812-1;480937.023;9527026.74;308;0.15;Area remediada; ;2025;11.05200272;3;0;;0007-4-2025-288;0.15
EA9812;AREA-EA9812-4;E6;AREA-EA9812-4-1;L-X,6,PZEA9812-2;480937.194;9527024.97;308;0.15;Area remediada; ;2025;11.05200272;3;0;;0007-4-2025-291;0.15
EA9812;AREA-EA9812-10;E23;AREA-EA9812-10-1;L-X,6,PZEA9812-3;480951.147;9527002.496;308;0.2;Area remediada; ;2025;41.6158463;3;814;;0007-4-2025-294;0.2
EA9812;AREA-EA9812-9;E21;AREA-EA9812-9-12;L-X,6,PZEA9812-4;480951.147;9527004.228;308;0.2;Area remediada; ;2025;53.24986731;3;1939;;0007-4-2025-297;0.2
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-12;L-X,6,PZEA9022-1;481864.04;9526657.676;286;0.1;Area remediada; ;2025;100.8234354;3;71;;0007-4-2025-300;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-22;L-X,6,PZEA9022-2;481867.401;9526657.818;286;0.1;Area remediada; ;2025;100.8234354;3;49;;0007-4-2025-303;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-30;L-X,6,PZEA9022-3;481867.401;9526656.086;286;0.1;Area remediada; ;2025;100.8234354;3;26;;0007-4-2025-306;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-25;L-X,6,PZEA9022-4;481869.134;9526657.818;286;0.1;Area remediada; ;2025;100.8234354;3;26;;0007-4-2025-309;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-18;L-X,6,PZEA9022-5;481870.866;9526657.818;286;0.1;Area remediada; ;2025;100.8234354;3;26;;0007-4-2025-312;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-19;L-X,6,PZEA9022-6;481870.866;9526659.55;286;0.1;Area remediada; ;2025;100.8234354;3;119;;0007-4-2025-315;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-17;L-X,6,PZEA9022-7;481872.577;9526661.263;286;0.1;Area remediada; ;2025;100.8234354;3;42;;0007-4-2025-318;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-5;L-X,6,PZEA9022-8;481872.353;9526662.968;286;0.1;Area remediada; ;2025;100.8234354;3;650;;0007-4-2025-321;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-39;L-X,6,PZEA9022-9;481870.866;9526663.014;286;0.1;Area remediada; ;2025;100.8234354;3;592;;0007-4-2025-324;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-3;L-X,6,PZEA9022-10;481867.434;9526661.258;286;0.1;Area remediada; ;2025;100.8234354;3;57;;0007-4-2025-327;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-20;L-X,6,PZEA9022-11;481874.33;9526656.086;286;0.1;Area remediada; ;2025;100.8234354;3;19;;0007-4-2025-330;0.1
EA9022;AREA-EA9022-3;B17;AREA-EA9022-3-32;L-X,6,PZEA9022-12;481875.982;9526657.751;286;0.1;Area remediada; ;2025;100.8234354;3;0;;0007-4-2025-333;0.1
EA9022;AREA-EA9022-11;E5;AREA-EA9022-11-4;L-X,6,PZEA9022-13;481895.114;9526654.353;286;0.1;Area remediada; ;2025;37.25963321;3;231;;0007-4-2025-336;0.1
EA9022;AREA-EA9022-11;E5;AREA-EA9022-11-1;L-X,6,PZEA9022-14;481896.766;9526654.294;286;0.1;Area remediada; ;2025;37.25963321;3;1086;;0007-4-2025-339;0.1
EA9022;AREA-EA9022-11;E5;AREA-EA9022-11-2;L-X,6,PZEA9022-15;481895.163;9526656.061;286;0.1;Area remediada; ;2025;37.25963321;3;384;;0007-4-2025-342;0.1
EA9022;AREA-EA9022-11;E5;AREA-EA9022-11-3;L-X,6,PZEA9022-16;481895.309;9526657.785;286;0.1;Area remediada; ;2025;37.25963321;3;478;;0007-4-2025-345;0.1
EA1537;AREA-EA1537-6;J1;AREA-EA1537-6-2;L-X,6,PZEA1537-1;481754.716;9527064.917;289;0.3;Area remediada; ;2025;9.013546831;3;296;;0007-4-2025-348;0.3
EA1537;AREA-EA1537-3;E4;AREA-EA1537-3-7;L-X,6,PZEA1537-2;481825.832;9526979.979;289;0.2;Area remediada; ;2025;34.13561863;3;92;;0007-4-2025-351;0.2
EA1537;AREA-EA1537-3;E4;AREA-EA1537-3-6;L-X,6,PZEA1537-3;481827.535;9526979.908;289;0.2;Area remediada; ;2025;34.13561863;3;154;;0007-4-2025-354;0.2
EA1537;AREA-EA1537-3;E4;AREA-EA1537-3-3;L-X,6,PZEA1537-4;481829.288;9526979.832;289;0.2;Area remediada; ;2025;34.13561863;3;0;;0007-4-2025-357;0.2
EA1537;AREA-EA1537-3;E4;AREA-EA1537-3-4;L-X,6,PZEA1537-5;481831.046;9526978.264;289;0.2;Area remediada; ;2025;34.13561863;3;3901;;0007-4-2025-360;0.2
EA1296;AREA-EA1296-1;J1;AREA-EA1296-1-1;L-X,6,PZEA1296-1;482121.774;9526657.754;289;0.35;Area remediada; ;2025;16.26628397;3;266;;0007-4-2025-363;0.35
EA1296;AREA-EA1296-1;J1;AREA-EA1296-1-2;L-X,6,PZEA1296-2;482121.99;9526656.068;289;0.35;Area remediada; ;2025;16.26628397;3;33;;0007-4-2025-366;0.35
EA1296;AREA-EA1296-2;A2;AREA-EA1296-2-3;L-X,6,PZEA1296-3;482109.889;9526657.818;289;0.4;Area remediada; ;2025;11.37783307;3;0;;0007-4-2025-369;0.4
EA9273;AREA-EA9273-3;E5;AREA-EA9273-3-2;L-X,6,PZEA9273-1;481245.623;9527085.605;274;0.15;Area remediada; ;2025;46.68427207;3;225;;0007-4-2025-372;0.15
EA9273;AREA-EA9273-3;E5;AREA-EA9273-3-1;L-X,6,PZEA9273-2;481247.327;9527085.634;274;0.15;Area remediada; ;2025;46.68427207;3;0;;0007-4-2025-375;0.15
EA9273;AREA-EA9273-3;E5;AREA-EA9273-3-3;L-X,6,PZEA9273-3;481249.059;9527085.634;274;0.15;Area remediada; ;2025;46.68427207;3;113;;0007-4-2025-378;0.15
EA922;AREA-EA922-6;G5;AREA-EA922-6-3;L-X,6,PZEA922-1;481467.432;9527575.683;296;0.1;Area remediada; ;2025;11.95407868;3;900;;0007-4-2025-381;0.1
EA922;AREA-EA922-6;G5;AREA-EA922-6-4;L-X,6,PZEA922-2;481469.027;9527575.807;296;0.1;Area remediada; ;2025;11.95407868;3;94;;0007-4-2025-384;0.1
EA922;AREA-EA922-6;G5;AREA-EA922-6-5;L-X,6,PZEA922-3;481469.03;9527577.537;296;0.1;Area remediada; ;2025;11.95407868;3;99;;0007-4-2025-387;0.1
EA922;AREA-EA922-6;G5;AREA-EA922-6-6;L-X,6,PZEA922-4;481470.661;9527577.564;296;0.1;Area remediada; ;2025;11.95407868;3;108;;0007-4-2025-390;0.1
EA922;AREA-EA922-8;G3;AREA-EA922-8-2;L-X,6,PZEA922-5;481472.494;9527584.465;296;0.1;Area remediada; ;2025;12.40987787;3;1926;;0007-4-2025-393;0.1
EA922;AREA-EA922-8;G3;AREA-EA922-8-1;L-X,6,PZEA922-6;481472.494;9527585.994;296;0.1;Area remediada; ;2025;12.40987787;3;50;;0007-4-2025-396;0.1
EA9298;AREA-EA9298-1;B1;AREA-EA9298-1-2;L-X,6,PZEA9298-1;480975.395;9528698.174;292;0.5;Area remediada; ;2025;18.2700537;3;0;;0007-4-2025-399;0.5
EA9298;AREA-EA9298-1;B1;AREA-EA9298-1-1;L-X,6,PZEA9298-2;480975.433;9528696.512;292;0.5;Area remediada; ;2025;18.2700537;3;0;;0007-4-2025-402;0.5
EA9298;AREA-EA9298-1;B1;AREA-EA9298-1-4;L-X,6,PZEA9298-3;480977.096;9528696.489;292;0.5;Area remediada; ;2025;18.2700537;3;0;;0007-4-2025-405;0.5
EA9298;AREA-EA9298-1;B1;AREA-EA9298-1-3;L-X,6,PZEA9298-4;480977.127;9528698.174;292;0.5;Area remediada; ;2025;18.2700537;3;0;;0007-4-2025-408;0.5
EA1292;AREA-EA1292-2;I1;AREA-EA1292-2-2;L-X,6,PZEA1292-1;480951.287;9528592.563;292;0.1;Area remediada; ;2025;9.167102859;3;86;;0007-4-2025-411;0.1
EA1292;AREA-EA1292-2;I1;AREA-EA1292-2-1;L-X,6,PZEA1292-2;480952.718;9528590.733;292;0.1;Area remediada; ;2025;9.167102859;3;65;;0007-4-2025-414;0.1
EA1292;AREA-EA1292-1;B1;AREA-EA1292-1-1;L-X,6,PZEA1292-3;481013.503;9528590.784;292;0.1;Area remediada; ;2025;15.82696453;3;2521;;0007-4-2025-417;0.1
EA1292;AREA-EA1292-1;B1;AREA-EA1292-1-2;L-X,6,PZEA1292-4;481015.232;9528590.786;292;0.1;Area remediada; ;2025;15.82696453;3;1784;;0007-4-2025-420;0.1
EA9297;AREA-EA9297-8;M1;AREA-EA9297-8-2;L-X,6,PZEA9297-1;481008.308;9528538.829;283;0.1;Area remediada; ;2025;11.32141543;3;0;;0007-4-2025-423;0.1
EA9297;AREA-EA9297-8;M1;AREA-EA9297-8-1;L-X,6,PZEA9297-2;481010.036;9528538.825;283;0.1;Area remediada; ;2025;11.32141543;3;0;;0007-4-2025-426;0.1
EA9297;AREA-EA9297-5;J1;AREA-EA9297-5-1;L-X,6,PZEA9297-3;481103.567;9528518.04;283;0.1;Area remediada; ;2025;29.52877819;3;2172;;0007-4-2025-429;0.1
EA9297;AREA-EA9297-5;J1;AREA-EA9297-5-3;L-X,6,PZEA9297-4;481103.683;9528519.692;283;0.1;Area remediada; ;2025;29.52877819;3;7510;;0007-4-2025-432;0.1
EA9297;AREA-EA9297-5;J1;AREA-EA9297-5-2;L-X,6,PZEA9297-5;481105.299;9528519.772;283;0.1;Area remediada; ;2025;29.52877819;3;2298;;0007-4-2025-435;0.1
EA2086;AREA-EA2086-5;B4;AREA-EA2086-5-1;L-X,6,PZEA2086-1;481152.065;9528646.212;283;0.2;Area remediada; ;2025;16.55048319;3;29;;0007-4-2025-438;0.2
EA2086;AREA-EA2086-5;B4;AREA-EA2086-5-2;L-X,6,PZEA2086-2;481152.065;9528647.944;283;0.2;Area remediada; ;2025;16.55048319;3;658;;0007-4-2025-441;0.2
EA2086;AREA-EA2086-5;B4;AREA-EA2086-5-7;L-X,6,PZEA2086-3;481152.065;9528649.676;283;0.2;Area remediada; ;2025;16.55048319;3;75;;0007-4-2025-444;0.2
EA2086;AREA-EA2086-5;B4;AREA-EA2086-5-3;L-X,6,PZEA2086-4;481153.766;9528649.621;283;0.2;Area remediada; ;2025;16.55048319;3;1257;;0007-4-2025-447;0.2
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-10;L-X,6,PZEA2086-5;481164.272;9528618.534;283;0.15;Area remediada; ;2025;74.78514412;3;1316;;0007-4-2025-450;0.15
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-7;L-X,6,PZEA2086-6;481165.921;9528616.767;283;0.15;Area remediada; ;2025;74.78514412;3;203;;0007-4-2025-453;0.15
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-2;L-X,6,PZEA2086-7;481165.921;9528615.035;283;0.15;Area remediada; ;2025;74.78514412;3;1467;;0007-4-2025-456;0.15
